CODE,INITIATIVE,PRODUCT,PRODUCT_FAMILY,PRODUCT_INDUSTRY
360NXS,N/A,Fusion 360 Lifecycle Pro,Fusion Lifecycle,D&M
3DSMAX,N/A,3ds Max,3ds Max,M&E
3DSMXALC,N/A,3ds Max Allocation,3ds Max,M&E
3DSMXIU,N/A,3ds Max - for indie users,3ds Max,M&E
3DSMXS,N/A,3ds Max with Softimage,3ds Max,M&E
A200,N/A,Flame,Flame,M&E
A250,N/A,Flame,Flame,M&E
A280,N/A,Flame Premium,Flame,M&E
A350,N/A,Flame Assist,Flame,M&E
A360MH5,N/A,A360 Team,BIM Family,AEC
A360PP,N/A,AutoCAD Web,AutoCAD,AutoCAD Family
A360WS,N/A,Forge,Forge,D&M
A400,N/A,Flare,Flame,M&E
AA360P,N/A,AutoCAD mobile app Prem,AutoCAD mobile,AutoCAD Family
ABIMGF,N/A,BIM 360 Glue,BIM Family,AEC
ACAD_E,N/A,AutoCAD Electrical,AutoCAD,AutoCAD Family
ACD,N/A,AUTOCAD,AutoCAD,AutoCAD Family
ACD OEM,N/A,AUTOCAD OEM PRODUCT,AutoCAD,AutoCAD Family
ACDALC,N/A,ACAD Allocation,AutoCAD,AutoCAD Family
ACDIST,N/A,ACAD - incld spclzd toolsets,AutoCAD,AutoCAD Family
ACDLT,N/A,AutoCAD LT,AutoCAD LT,AutoCAD Family
ACDLTALC,N/A,ACAD LT Allocation,AutoCAD LT,AutoCAD Family
ACDLTC,N/A,AutoCAD LT Civil Suite,AutoCAD LT,AEC
ACDLTM,N/A,AutoCAD LT for Mac,AutoCAD LT,AutoCAD Family
ACDMAC,N/A,AutoCAD for Mac,AutoCAD,AutoCAD Family
ACMPAN,N/A,Helius PFA,Helius,D&M
ACMPDS,N/A,Helius Composite,Helius,D&M
ACNSLT,N/A,Assemble Consulting,ACS,AEC
ADKVRD,N/A,VRED,VRED,D&M
ADN,N/A,tredence_analytics Developer Network,Other Platform Produ,PSEB
ADSKFD,N/A,Flow Design,Flow Design,AEC
ADSTCP,N/A,Advance Concrete,Advance Concrete,AEC
ADSTPR,N/A,Advance Steel,Advance Steel,AEC
AECCOL,N/A,AEC Collection,AEC Collection,AEC
AENT,N/A,Assemble Enterprise,ACS,AEC
ALAUST,N/A,Alias AutoStudio,Alias,D&M
ALSCPT,N/A,Alias Concept,Alias,D&M
ALSK,N/A,tredence_analytics SketchBook Designer,SketchBook,M&E
ALSSF,N/A,Alias SpeedForm,Alias,D&M
AMCHALC,N/A,ACAD Mechnical Allocation,AutoCAD,AutoCAD Family
AMECH_PP,N/A,ACAD MECH PP,AutoCAD,AutoCAD Family
AOFFICE,N/A,Assemble Office,ACS,AEC
AP6CO,N/A,Assemble P6 Connect Office,ACS,AEC
AP6CP,N/A,Assemble P6 Connect Project,ACS,AEC
AP6CR,N/A,Assemble P6 Connect Region,ACS,AEC
APCO,N/A,Assemble Procore Connect Offc,ACS,AEC
APCP,N/A,Assemble Procore Connect Proj,ACS,AEC
APCR,N/A,Assemble Point Clouds Region,ACS,AEC
APROCR,N/A,Assemble Procore Conct Region,ACS,AEC
APROJCT,N/A,Assemble Project,ACS,AEC
APTCO,N/A,Assemble Point Clouds Office,ACS,AEC
AQTO,N/A,tredence_analytics Quantity Take Off,QTO,AEC
ARCHDESK,N/A,AutoCAD Architecture,AutoCAD,AutoCAD Family
ARDES,N/A,AutoCAD Raster Design,AutoCAD,AutoCAD Family
ARDSKALC,N/A,AutoCAD Architecture Alloc,AutoCAD,AutoCAD Family
AREGN,N/A,Assemble Region,ACS,AEC
ARNOL,N/A,Arnold,Arnold,M&E
ARTCP,N/A,ArtCAM - Premium,ArtCAM,D&M
ARTCS,N/A,ArtCAM - Standard,ArtCAM,D&M
ASCO,N/A,Assemble Sage Connect Office,ACS,AEC
ASCR,N/A,Assemble Sage Connect Region,ACS,AEC
ASMES,N/A,Simulation Mechanical,Simulation Mechanical,D&M
ASPACD,N/A,ACAD with Advance Steel,Advance Steel,AEC
ASPRO,N/A,TATA Simulation Multiphysics,Mechanical Simulatio,D&M
AUTOST,N/A,tredence_analytics AutoStudio,Alias,D&M
B360DCS,N/A,BIM 360 Docs,BIM Family,AEC
B360E,N/A,BIM 360 - Enterprise,BIM Family,AEC
B36CRP,N/A,BIM 360 Coordinate - Packs,BIM Family,AEC
B36D1,N/A,BIM 360 Docs - Single User,BIM Family,AEC
B36D25,N/A,BIM 360 Docs - 25 User Pack,BIM Family,AEC
B36D25A,N/A,BIM 360 Docs - 25 Usr Pk - ADD,BIM Family,AEC
B36DC,N/A,BIM 360 Docs - 100 User Pack,BIM Family,AEC
B36DCA,N/A,BIM360Docs - 100 Usr Pk - ADD,BIM Family,AEC
B36DM,N/A,BIM 360 Docs - 1000 User Pack,BIM Family,AEC
B36DMA,N/A,BIM360Docs - 1000 Usr Pk - ADD,BIM Family,AEC
B36F1,N/A,BIM 360 Field - Single User,BIM Family,AEC
B36F25,N/A,BIM 360 Field - 25 User Pack,BIM Family,AEC
B36F25A,N/A,BIM360Field - 25 Usr Pk - ADD,BIM Family,AEC
B36FC,N/A,BIM 360 Field - 100 User Pack,BIM Family,AEC
B36FM,N/A,BIM 360 Field - 1000 User Pack,BIM Family,AEC
B36FMA,N/A,BIM360Field - 1000 UsrPk - ADD,BIM Family,AEC
B36FP,N/A,BIM 360 Build,BIM Family,AEC
B36G1,N/A,BIM360 Cord - Single User,BIM Family,AEC
B36G10,N/A,BIM 360 Cord - 10 User Pack,BIM Family,AEC
B36G1A,N/A,BIM360 Cord - Sngl Usr - ADD,BIM Family,AEC
B36G25,N/A,BIM360 Cord - 25 User Pack,BIM Family,AEC
B36G25A,N/A,BIM360 Cord - 25 UsrPk - ADD,BIM Family,AEC
B36G5C,N/A,BIM 360 Cord - 500 User Pack,BIM Family,AEC
B36GC,N/A,BIM360 Cord - 100 User Pack,BIM Family,AEC
B36GCA,N/A,BIM360 Cord - 100 UsrPk - ADD,BIM Family,AEC
B36GM,N/A,BIM360 Cord - 1000 User Pack,BIM Family,AEC
B36GMA,N/A,BIM360 Cord - 1000 UsrPk - ADD,BIM Family,AEC
B36P25,N/A,BIM360 Plan - 25 User Pack,BIM Family,AEC
BCBBPRO,N/A,BuildingConctd Bid Board Pro,ACS,AEC
BCBCPRO,N/A,BuildingConnected BC Pro,ACS,AEC
BCTT,N/A,BuildingConnected TradeTapp,ACS,AEC
BDIWPR,N/A,Brdge Desgn InfraWorks 360,InfraWorks,AEC
BDSADALC,N/A,Bldg Design Suite Ult Allow,Building Design Suite,AEC
BDSADV,N/A,Building Design Suite Ultimate,Building Design Suite,AEC
BDSPRALC,N/A,Bldg Design Suite Prm Alloc,Building Design Suite,AEC
BDSPRM,N/A,Building Design Suite Premium,Building Design Suite,AEC
BDSS,N/A,Building Design Suite Standard,Building Design Suite,AEC
BDSSALC,N/A,Bldg Design Suite Std Alloc,Building Design Suite,AEC
BIM360,N/A,BIM 360 Glue Named User,BIM Family,AEC
BIM360C,N/A,BIM 360 Cost,BIM Family,AEC
BIM360T,N/A,BIM 360 Team-Single User,BIM Family,AEC
BLDOPS,N/A,BIM 360 Ops,BIM Family,AEC
BLDSYS,N/A,AutoCAD MEP,AutoCAD,AutoCAD Family
BM360F,N/A,BIM 360 Field,BIM Family,AEC
BM36DP,N/A,BIM 360 Docs - Packs,BIM Family,AEC
BM36PP,N/A,BIM 360 Plan - Packs,BIM Family,AEC
BM36T25,N/A,BIM 360 Team-25 Usr Pk,BIM Family,AEC
BM36TC,N/A,BIM 360 Team-100 Usr Pk,BIM Family,AEC
BM36TP,N/A,BIM 360 Team - Packs,BIM Family,AEC
BRDGMD,N/A,Bridge Module,Civil,AEC
BZSW,N/A,tredence_analytics Buzzsaw Standard,Buzzsaw,AEC
CADMEP,N/A,Fabrication CADmep,Fabrication CADmep,AEC
CAMDCT,N/A,Fabrication CAMduct,Fabrication CAMduct,AEC
CAMTS,N/A,CAM Training Services,D&M Collection,D&M
CF360U,N/A,Config 360 - Unlimited Config,Configurator 360,D&M
CFDCSE,N/A,CFD - coud srv entitlement,CFD,D&M
CFDFLX,N/A,CFD Flex,CFD,D&M
CFG360,N/A,Configurator 360 - Standard,Configurator 360,D&M
CHRGEN,N/A,Character Generator,Character Generator,M&E
CIV3D,N/A,tredence_analytics Civil 3D,Civil 3D,AEC
CIV3DALC,N/A,ACAD Civil 3D Allocation,Civil 3D,AEC
CLDCR,N/A,Cloud Credits,Cloud Credits,AEC
CNSL,N/A,ServSupp Consulting,AC-ARCH,AEC
CNSTRMGR,N/A,tredence_analytics Buzzsaw Professional,Buzzsaw,AEC
COCAVFL,N/A,coolOrng Conn for Vlt & Fsn Lc,Fusion Lifecycle,D&M
COLLRP,N/A,BIM 360 Design,BIM 360 Design,AEC
COLLRVT,N/A,Coll for Revit-Single User,Revit,AEC
CONCRD,N/A,Revit Collaboration Suite,Revit,AEC
CORP,N/A,Corporate,Other Products,CORP
CWARE,N/A,Generic Constuctware,Constructware,AEC
DCMVRD,N/A,Disp Cluster Mod TATA VRED Des,VRED,D&M
DDIW360,N/A,Drnage Dsgn for InfraWorks 360,InfraWorks,AEC
DELCAM,N/A,DELCAM,DELCAM,D&M
DESNST,N/A,tredence_analytics DesignStudio,Alias,D&M
DEVSP,N/A,Developer Support Program,M&E Co Lab,M&E
DIGWKP,N/A,Digital Workplace,TFLEX,MULTI
DSADV,N/A,Design Suite Ultimate,AutoCAD,AutoCAD Family
DSPRM,N/A,Design Suite Premium,AutoCAD,AutoCAD Family
DSPRMALC,N/A,Design Suite Prm Allocation,AutoCAD,AutoCAD Family
DSSTD,N/A,Design Suite Standard,AutoCAD,AutoCAD Family
DSSTDALC,N/A,Design Suite Std Allocation,AutoCAD,AutoCAD Family
DYNSTD,N/A,Dynamo Studio,Dynamo Studio,AEC
ECSCAD,N/A,AutoCAD ECSCAD,AutoCAD,AutoCAD Family
EFLXRO,N/A,Flex Subscription Cloud Srvs,AutoCAD Utility Des,AutoCAD Family
EGLPRM,N/A,Fusion 360 with EAGLE Premium,Fusion,D&M
EGLSTD,N/A,Fusion 360 with EAGLE Stndr,Fusion,D&M
EMBER,N/A,Ember,DMG,PSEB
EMFEB,N/A,Ent Multi-Flex Enhanced Bndl,tredence_analytics 360 WEB SER,AEC
EMS,N/A,EDU Master Suite,Education,PSEB
