MARKETING_TACTIC_ORGANIZATION,RESOLVED_MARKETING_TACTIC_ORGANIZATION
Education,Education
DMC,DMC
B&I,Global Communications
DPE,WWS-License Compliance
GDG-ABSM,AGM-ABSM
GDG-Territory,AGM-Territory
GDG-Other,AGM-Other
GDG-GC,AGM-GDMC
GDG-GRE,AGM-ILM
IPM,IPM
NA,N/A
Finance-Sustainability & Foundation,Finance-Sustainability & Foundation
Archive-Delete,Archive-Delete
Global Brand,Brand & Creative
Global Communications,Global Communications
AGM-SPFM,AGM-FME
AGM-GDC-Product Campaigns,AGM-GDMC-Product Campaigns
AGM-GDC-Audience Known Campaigns,AGM-GDMC-Audience Known Campaigns
AGM-GDC-Audience Unknown Campaigns,AGM-GDMC-Audience Unknown Campaigns
AGM-GDC-Water,AGM-GDMC-Water
Brand & Creative,Brand & Creative
AGM-FME,AGM-FME
AGM-ILM,AGM-ILM
AGM-GDC,AGM-GDMC
AGM-Territory,AGM-Territory
